borrowerid,borrowername,region,country,IQ_INDUSTRY_SECTOR,parent,parentticker,ticker,companyisprivate
3885,Zip Master Trust Series 2021-2,,Australia,Consumer Discretionary,Zip Co Ltd (Australia),,,
3886,Contemporary Ruiding Development Ltd,,China,Consumer Discretionary,Contemporary Amperex Technology Co Ltd,,,
3887,Suzhou Taihu Tourism Development Co Ltd,,China,Industrials,Suzhou Taihu Tourism Development Co Ltd,,,
3888,Wuxi Huning Metro Huishan Station District Investment Development Construction Co Ltd,,China,Industrials,Wuxi Huning Metro Huishan Station District Investment Development Construction Co Ltd,,,
3889,Puyang Kaizhou Investment Group Co Ltd,,China,Industrials,Puyang Kaizhou Investment Group Co Ltd,,,
3890,Mitsubishi Corp,,Japan,noinfo,Mitsubishi Corp,,,
3891,Oceania Healthcare Ltd,,New Zealand,Real Estate,Oceania Healthcare Ltd,,,
3892,Phinma Corp,,Philippines,noinfo,Phinma Corp,,,
3893,UOL Treasury Services Pte Ltd,,Singapore,Real Estate,UOL Group Ltd,,,
3894,Longhai State-owned Assets Management Co Ltd,,China,Real Estate,Longhai State-owned Assets Management Co Ltd,,,
3895,Xian Kingfar Group Co Ltd,,China,Real Estate,Xi'an Kingfar Holding Group Co Ltd,,,
3896,China Sciences Group (Holding) Co Ltd,,China,Financials,Chinese Academy of Sciences,,,
3897,Capital Securities Co Ltd,,China,Financials,Beijing Capital Group Co Ltd,,,
3898,Generation 2021-3 Auto Loans ABS,,China,Financials,Geely Automobile Holdings Ltd,,,
3899,Starhill Global REIT MTN Pte Ltd,,Singapore,Real Estate,Yeoh Tiong Lay & Sons Holdings Sdn Bhd,,,
3900,Hefei Huatai Group Co Ltd,,China,Consumer Staples,Hefei Huatai Group Co Ltd,,,
3901,Keppel Corp Ltd,,Singapore,Industrials,Keppel Ltd,,,
3902,Wanda Group Overseas Ltd,,China,Real Estate,Dalian Hexing Investment Co Ltd,,,
3903,Nippon Accommodations Fund Inc,,Japan,Real Estate,Mitsui Fudosan Co Ltd,,,
3904,SocietyOne PL 2021-1 Trust,,Australia,Consumer Discretionary,MoneyMe Ltd,,,
3905,PROSPArous Trust 2021-1,,Australia,Financials,Prospa Group Ltd,,,
3906,Furukawa Electric Co Ltd,,Japan,Materials,Furukawa Electric Co Ltd,,,
3907,Aoyama Trading Co Ltd,,Japan,Consumer Discretionary,Aoyama Trading Co Ltd,,,
3908,Senko Group Holdings Co Ltd,,Japan,Industrials,Senko Group Holdings Co Ltd,,,
3909,Tosei Reit Investment Corp,,Japan,Real Estate,Tosei Corp,,,
3910,Radiance Holdings (Group) Co Ltd,,China,Real Estate,Radiance Holdings (Group) Co Ltd,,,
3911,Guangzhou Metro Investment Finance (BVI) Ltd,,China,Industrials,Guangzhou Metro Group Co Ltd,,,
3912,NHK Spring Co Ltd,,Japan,Consumer Discretionary,NHK Spring Co Ltd,,,
3913,Mirai Corp (Tokyo),,Japan,Real Estate,Mirai Corp (Tokyo),,,
3914,Future Diamond Ltd,,China,Real Estate,Wealth Zone Hong Kong Investments Ltd,,,
3915,HPHT Finance (21) (II) Ltd,,Hong Kong,Industrials,CK Hutchison Holdings Ltd,,,
3916,Perfect Point Ventures Ltd,,China,Real Estate,Future Capital Group Ltd,,,
3917,Ver Finco Pty Ltd,,Australia,Energy,Viva Energy Group Ltd,,,
3918,Sinochem Offshore Capital Co Ltd,,China,Materials,Sinochem Holdings Corp Ltd,,,
3919,Keppel REIT MTN Pte Ltd,,Singapore,Industrials,Keppel Ltd,,,
3920,OUE Treasury Pte Ltd,,Singapore,Real Estate,Lippo ASM Asia Property LP,,,
3921,KYB Corp,,Japan,Consumer Discretionary,KYB Corp,,,
3922,Dowa Holdings Co Ltd,,Japan,Materials,Dowa Holdings Co Ltd,,,
3923,Star Asia Investment Corp,,Japan,Real Estate,Star Asia Investment Management Co Ltd,,,
3924,Qantas Airways Ltd,,Australia,Industrials,Qantas Airways Ltd,,,
3925,Unison Networks Ltd,,New Zealand,Utilities,Unison Networks Ltd,,,
3926,Frasers Property AHL Ltd,,Australia,Real Estate,Thai Charoen Corp Group - TCC Group,,,
3927,Tsubaki Nakashima Co Ltd,,Japan,Materials,Tsubaki Nakashima Co Ltd,,,
3928,Yokohama Reito Co Ltd,,Japan,Industrials,Yokorei Co Ltd,,,
3929,Shopping Centres Australasia Property Group RE Ltd,,Australia,Real Estate,Region Group,,,
3930,AYC Finance Ltd,,Philippines,noinfo,Ayala Corp,,,
3931,PT Polytama Propindo,,Indonesia,Materials,PT Polytama Propindo,,,
3932,PT Angkasa Pura I (Persero),,Indonesia,Industrials,PT Angkasa Pura I (Persero),,,
3933,IGB Commercial REIT Capital Sdn Bhd,,Malaysia,Financials,IGB Commercial REIT,,,
3934,Axis REIT Sukuk Bhd,,Malaysia,Real Estate,Axis REIT Managers Bhd,,,
3935,Daimler International Finance BV,,Germany,Consumer Discretionary,Mercedes-Benz Group AG,,,
3936,Beijing Environment (BVI) International Co Ltd,,China,Utilities,Beijing Environment Sanitation Engineering Group Co Ltd,,,
3937,TSMC,,Taiwan,Consumer Discretionary,TSMC,,,
3938,Dongjiang Environmental Co Ltd,,China,Utilities,Dongjiang Environmental Co Ltd,,,
3939,Dongguan Industrial Investment Holding Group Co Ltd,,China,Real Estate,Dongguan Industrial Investment Holding Group Co Ltd,,,
3940,ChemChina,,China,Materials,Sinochem Holdings Corp Ltd,,,
3941,Guangxi Qinzhou Linhai Industrial Investment Group Co Ltd,,China,Industrials,Guangxi Qinzhou Linhai Industrial Investment Group Co Ltd,,,
3942,Nanjing Railway Construction Investment Co Ltd,,China,Industrials,Nanjing Railway Construction Investment Co Ltd,,,
3943,Nantong State-owned Assets Investment Holding Co Ltd,,China,noinfo,Nantong State-owned Assets Investment Holding Co Ltd,,,
3944,YTO Express Group Co Ltd,,China,Industrials,Shanghai Yuantong Jiaolong Investment Development (Group) Co Ltd,,,
3945,China Dalian Urban & Rural Construction Investment Group Co Ltd,,China,Industrials,China Dalian Urban & Rural Construction Investment Group Co Ltd,,,
3946,Suqian Hi-tech Zone Development Investment Co Ltd,,China,Industrials,Suqian Hi-tech Zone Development Investment Co Ltd,,,
3947,Sichuan Guangan AAA Public Co Ltd,,China,Utilities,Sichuan Guangan AAA Public Co Ltd,,,
3948,Hunan Deshan Construction Investment Co Ltd,,China,Real Estate,Hunan Deshan Construction Investment Co Ltd,,,
3949,Guangzhou Hengyun Enterprises Holding Ltd,,China,Utilities,Guangzhou Hengyun Enterprises Holding Ltd,,,
3950,Kunming State-owned Assets Management Co Ltd,,China,noinfo,Kunming State-owned Assets Management Co Ltd,,,
3951,Wuhan Department Store Group Co Ltd,,China,Consumer Discretionary,Wuhan Department Store Group Co Ltd,,,
3952,Huaian Urban Assets Operation Co Ltd,,China,Industrials,Huaian State Joint Investment Development Group Co Ltd,,,
3953,Jiangsu Zhufu Industry Investment Co Ltd,,China,Industrials,Jiangsu Zhufu Industry Investment Co Ltd,,,
3954,Jiangsu Cultural Investment & Management Group Co Ltd,,China,Consumer Discretionary,Jiangsu Cultural Investment & Management Group Co Ltd,,,
3955,Xian Fengdong Development Group Co Ltd,,China,Industrials,Xian Fengdong Development Group Co Ltd,,,
3956,Zhengzhou General Construction Investment Co,,China,Industrials,Zhengzhou Development Investment Group Co Ltd,,,
3957,Zhengzhou Jingkai Investment Development Co Ltd,,China,Industrials,Zhengzhou Jingkai Investment Development Co Ltd,,,
3958,Ordos State-owned Assets Investment Holding Group Co Ltd,,China,Utilities,Ordos State-owned Assets Investment Holding Group Co Ltd,,,
3959,Chongqing Yukaifa Co Ltd,,China,Real Estate,Chongqing Yukaifa Co Ltd,,,
3960,Jintang Modern Agricultural Investment Co Ltd,,China,Industrials,Jintang Modern Agricultural Investment Co Ltd,,,
