borrowerid,borrowername,region,country,IQ_INDUSTRY_SECTOR,parent,parentticker,ticker,companyisprivate
2520,Xinjiang Non-ferrous Metal Industry (Group) Ltd,,China,Materials,Xinjiang Non-ferrous Metal Industry (Group) Ltd,,,
2521,Cangzhou Construction Investment Group Co Ltd,,China,Materials,Cangzhou Construction Investment Group Co Ltd,,,
2522,Chongqing Foreign Trade & Economic Cooperation (Group) Co Ltd,,China,Consumer Discretionary,Chongqing Foreign Trade & Economic Cooperation (Group) Co Ltd,,,
2523,Yancheng Traffic Holding Group Ltd,,China,Industrials,Yancheng Transportation Investment Construction Holding Group Co Ltd,,,
2524,Fujian Petrochemical Industrial Group Co Ltd,,China,Materials,Fujian Petrochemical Industrial Group Co Ltd,,,
2525,Mianyang Communications Development Group Co Ltd,,China,Industrials,Mianyang Communications Development Group Co Ltd,,,
2526,Yingkou Port Group Co Ltd,,China,Industrials,Yingkou Port Group Co Ltd,,,
2527,Handan Construction Investment Co Ltd,,China,Industrials,Handan Construction Investment Co Ltd,,,
2528,Zhengzhou Real Estate Group Co Ltd,,China,Real Estate,Zhengzhou Urban Development Group Co Ltd,,,
2529,Jasmine Telecom Systems pcl,,Thailand,Consumer Discretionary,Jasmine Telecom Systems pcl,,,
2530,Air China,,China,Industrials,Air China,,,
2531,Gree Real Estate Co Ltd,,China,Real Estate,Gree Real Estate Co Ltd,,,
2532,Yuyao High-Speed Construction Investment Co Ltd,,China,Industrials,Yuyao High-Speed Construction Investment Co Ltd,,,
2533,Liangshan Development (Holdings) Group Co Ltd,,China,Materials,Liangshan Development (Holdings) Group Co Ltd,,,
2534,Nanchang City Construction Investment Development Co Ltd,,China,Industrials,Nanchang Construction Investment Group Co Ltd,,,
2535,Yichun City Construction Investment Development Co Ltd,,China,Industrials,Yichun City Construction Investment Development Co Ltd,,,
2536,Suqian Transportation Industry Group Co Ltd,,China,Industrials,Suqian Transportation Industry Group Co Ltd,,,
2537,Deqing Construction Development Group Co Ltd,,China,Real Estate,Deqing Construction Development Group Co Ltd,,,
